Pestisit,Urun,MRL_Limiti,Buhar_Basinci_Ref_25C,Sicaklik_C,Sicaklik_Sinifi,Ucuculuk_Gosterge_Index,Ucuculuk_Sinifi,1ml_Saf_Madde_ppm,Uygulanan_Ilac_Miktari_ml,Tahmini_Kalinti_ppm,Etiket
Cypermethrins (including alpha- and zeta- cypermethrin),Root and tuber vegetables (group),0.01,0.01,31.8,1,-2.0463,Dusuk,1200.0,0.09,0.0089,0
Penthiopyrad,Elderberries,7.0,0.01,29.8,1,-2.0333,Dusuk,1200.0,163.7,7.1247,1
Flupyradifurone,Straw and hay of cereal grains (excluding pseudocereals) (subgroup),40.0,0.01,18.6,0,-1.9583,Orta,1200.0,3527.97,63.2696,1
Cyproconazole,Cereal grains (group),0.08,0.01,27.7,1,-2.0191,Dusuk,1200.0,0.62,0.0602,0
Cyhexatin,Pear,0.2,0.01,34.4,1,-2.0638,Dusuk,1200.0,1.72,0.1645,0
Azinphos-Methyl,Spices,0.5,0.01,21.1,0,-1.9749,Orta,1200.0,30.42,0.3357,0
Ethephon,"Wheat bran, unprocessed",1.5,0.01,19.0,0,-1.9605,Orta,1200.0,162.47,1.0126,0
Malathion,"Cotton seed oil, edible",13.0,0.01,31.9,1,-2.0471,Dusuk,1200.0,338.52,16.3592,1
Propamocarb,Mammalian fats (except milk fats),0.03,0.01,22.2,0,-1.9825,Orta,1200.0,1.29,0.0207,0
Fenpicoxamid,Edible offal (mammalian),0.02,0.01,19.6,0,-1.9646,Orta,1200.0,0.58,0.0129,0
Carbaryl,Tomato paste,10.0,0.01,34.8,1,-2.0668,Dusuk,1200.0,59.29,6.6803,0
Tebufenozide,"Grape, dried (= Currants, Raisins and Sultanas)",2.0,0.01,28.7,1,-2.0258,Dusuk,1200.0,17.67,2.0279,1
Cycloxydim,Tomato,1.5,0.01,28.5,1,-2.0245,Dusuk,1200.0,27.82,1.837,1
"2,4-D","Soya bean, hay and/or straw",0.01,0.01,19.2,0,-1.9618,Orta,1200.0,0.72,0.0107,1
Fluensulfone,Maize cereals (subgroup),0.15,0.01,27.2,1,-2.0156,Dusuk,1200.0,1.67,0.1252,0
Fenpropimorph,"Oat straw and fodder, dry",0.5,0.01,18.8,0,-1.9591,Orta,1200.0,31.98,0.5469,1
Saflufenacil,Linseed,0.6,0.01,23.5,0,-1.9912,Orta,1200.0,35.03,0.7124,1
"1,4-Dimethylnaphthalene",Milks,0.03,0.01,29.4,1,-2.0306,Dusuk,1200.0,0.52,0.0235,0
Cypermethrins (including alpha- and zeta- cypermethrin),Sugar beet,0.1,0.01,31.7,1,-2.0456,Dusuk,1200.0,1.0,0.1171,1
Imidacloprid,Strawberry,0.5,4e-07,32.4,1,-6.5609,Cok Dusuk (Kalici),1540.0,1.71,0.6523,1
Imazamox,Milks,0.01,0.01,26.1,1,-2.0085,Dusuk,1200.0,0.1,0.0102,1
Spirotetramat,Carrot,0.04,0.01,31.1,1,-2.0422,Dusuk,1200.0,1.25,0.0324,0
Propargite,Cotton seed,0.1,0.01,17.7,0,-1.9522,Orta,1200.0,4.67,0.0859,0
Cypermethrins (including alpha- and zeta- cypermethrin),Sweet corn (corn-on-the-cob),0.05,0.01,30.2,1,-2.0361,Dusuk,1200.0,1.89,0.0513,1
Diflubenzuron,Citrus fruits (group),0.5,0.01,34.3,1,-2.0635,Dusuk,1200.0,7.83,0.6771,1
Pyriproxyfen,Citrus fruits (group),0.5,0.01,33.1,1,-2.0551,Dusuk,1200.0,5.76,0.5344,1
Propiconazole,"Rice, hulls",80.0,0.01,25.5,1,-2.0045,Dusuk,1200.0,1492.18,83.8483,1
Dithiocarbamates,Cotton seed,0.4,0.01,34.2,1,-2.0627,Dusuk,1200.0,2.56,0.2821,0
Malathion,Spinach,3.0,0.01,23.9,0,-1.9935,Orta,1200.0,130.94,1.8074,0
Abamectin,Pome fruits (group),0.01,2e-07,30.4,1,-6.8244,Cok Dusuk (Kalici),1160.0,0.03,0.0096,0
Endosulfan,Litchi,2.0,0.01,26.9,1,-2.0135,Dusuk,1200.0,35.0,2.6972,1
Myclobutanil,Beans with pods (Phaseolus spp.) (immature pods and succulent seeds),0.8,0.01,18.9,0,-1.96,Orta,1200.0,48.59,0.8679,1
Methoxyfenozide,Sugar cane molasses,0.1,0.01,25.8,1,-2.0063,Dusuk,1200.0,1.31,0.1239,1
Acetamiprid,Cotton seed,0.7,1e-06,31.3,1,-6.1307,Cok Dusuk (Kalici),1330.0,5.3,0.796,1
Bifenthrin,Peas (pods and succulent=immature seeds),0.9,0.01,33.8,1,-2.0601,Dusuk,1200.0,7.08,0.6988,0
Trifloxystrobin,"Citrus pulp, dried",1.0,0.01,29.9,1,-2.0336,Dusuk,1200.0,33.62,1.0363,1
Disulfoton,Bean (dry),0.2,0.01,15.8,0,-1.939,Orta,1200.0,20.22,0.2136,1
Methomyl,Asparagus,2.0,0.01,18.3,0,-1.9559,Orta,1200.0,109.58,1.3951,0
Prothioconazole,Linseed,0.03,0.01,18.4,0,-1.957,Orta,1200.0,2.41,0.0453,1
Methiocarb,Peas (pods and succulent=immature seeds),0.1,0.01,24.4,0,-1.997,Orta,1200.0,3.55,0.0841,0
Prothioconazole,Rye,0.05,0.01,33.5,1,-2.0583,Dusuk,1200.0,2.25,0.0644,1
Acetochlor,Hyacinth bean (dry),0.15,22.0,21.7,0,1.3281,Yuksek,1120.0,58.76,0.1618,1
Chlormequat,Grapes,0.04,0.01,15.3,0,-1.9359,Orta,1200.0,3.38,0.0384,0
Dimethomorph,"Lettuce, head",10.0,0.01,31.4,1,-2.0439,Dusuk,1200.0,59.0,5.7001,0
Lufenuron,Coffee beans,0.07,0.01,22.9,0,-1.9867,Orta,1200.0,3.77,0.0488,0
Metrafenone,Rye,0.06,0.01,19.3,0,-1.9629,Orta,1200.0,2.91,0.0322,0
Flupyradifurone,Sweet potato,0.05,0.01,15.5,0,-1.937,Orta,1200.0,1.58,0.0352,0
Methiocarb,Leek,0.5,0.01,19.8,0,-1.966,Orta,1200.0,34.33,0.5361,1
Spirotetramat,Eggs,0.01,0.01,34.1,1,-2.0618,Dusuk,1200.0,0.14,0.0143,1
Cyhalothrin (includes lambda-cyhalothrin),"Fruiting vegetables, other than cucurbits (group)",0.3,0.01,25.8,1,-2.0066,Dusuk,1200.0,5.28,0.3066,1
Saflufenacil,Cereal grains (group),0.01,0.01,30.6,1,-2.0385,Dusuk,1200.0,0.12,0.009,0
Oxydemeton-Methyl,"Kale (including among others: Collards,curly,Scotch,thousand-headed; not including Marrow-stem kale)",0.01,0.01,32.7,1,-2.0529,Dusuk,1200.0,0.1,0.0061,0
Metrafenone,Peppers chili,2.0,0.01,22.4,0,-1.9833,Orta,1200.0,315.14,2.8774,1
Clethodim,"Sunflower seed oil, crude",0.1,0.01,17.1,0,-1.9481,Orta,1200.0,5.98,0.1331,1
Tebufenozide,Walnuts,0.05,0.01,30.4,1,-2.0372,Dusuk,1200.0,0.4,0.0402,0
Trifloxystrobin,Carrot,0.1,0.01,20.2,0,-1.9686,Orta,1200.0,4.83,0.1009,1
Quinoxyfen,"Currant, black",1.0,0.01,32.6,1,-2.0518,Dusuk,1200.0,23.16,0.8439,0
Tebufenozide,Rape seed,2.0,0.01,15.8,0,-1.9395,Orta,1200.0,91.85,1.4938,0
Isopyrazam,Cherry tomato,0.4,0.01,30.7,1,-2.0393,Dusuk,1200.0,4.5,0.3945,0
Oxydemeton-Methyl,Sheep fat,0.05,0.01,22.5,0,-1.984,Orta,1200.0,8.62,0.0649,1
Penthiopyrad,"Peanut oil, edible",0.5,0.01,22.1,0,-1.9818,Orta,1200.0,76.62,0.5675,1
Quinclorac,"Poultry, edible offal of",0.05,0.01,20.3,0,-1.9692,Orta,1200.0,2.0,0.0466,0
Cyhalothrin (includes lambda-cyhalothrin),Table olives,1.0,0.01,19.2,0,-1.9621,Orta,1200.0,79.5,1.1532,1
Mesotrione,"Poultry, edible offal of",0.01,0.01,25.7,1,-2.0055,Dusuk,1200.0,0.17,0.0108,1
Pyrasulfotole,"Oat, hay and/or straw",0.8,0.01,18.4,0,-1.9567,Orta,1200.0,41.65,0.8206,1
Dichlobenil,Milks,0.01,0.01,20.3,0,-1.9693,Orta,1200.0,0.49,0.0087,0
Imazethapyr,Rape seed,0.1,0.01,19.4,0,-1.9636,Orta,1200.0,3.67,0.0692,0
Chlordane,Almonds,0.02,0.01,16.1,0,-1.9411,Orta,1200.0,0.75,0.0122,0
Piperonyl Butoxide,Wheat germ,90.0,0.01,28.3,1,-2.0228,Dusuk,1200.0,846.82,89.223,0
Fenitrothion,"Spices, roots and rhizomes",0.1,0.01,19.9,0,-1.9668,Orta,1200.0,5.75,0.1464,1
Piperonyl Butoxide,Cattle meat,5.0,0.01,32.8,1,-2.0531,Dusuk,1200.0,85.89,6.3278,1
Phosmet,Cotton seed,0.05,0.01,20.2,0,-1.9688,Orta,1200.0,5.03,0.0416,0
Fluensulfone,"Rice, hay and/or straw",0.06,0.01,27.3,1,-2.0165,Dusuk,1200.0,0.37,0.0312,0
Imidacloprid,Sunflower seed,0.05,4e-07,23.8,0,-6.3758,Cok Dusuk (Kalici),1540.0,0.29,0.0506,1
Pyriproxyfen,Melons (except watermelon),0.07,0.01,17.3,0,-1.9495,Orta,1200.0,3.42,0.0492,0
Imidacloprid,Strawberry,0.5,4e-07,28.4,1,-6.4745,Cok Dusuk (Kalici),1540.0,1.23,0.3841,0
MCPA,Peas (dry),0.01,0.01,22.5,0,-1.9841,Orta,1200.0,0.86,0.0142,1
Propargite,"Grape, dried (= Currants, Raisins and Sultanas)",12.0,0.01,31.0,1,-2.0416,Dusuk,1200.0,433.24,16.3782,1
Heptachlor,Milks,0.006,0.01,34.9,1,-2.0675,Dusuk,1200.0,0.15,0.0055,0
Metrafenone,Poultry fats,0.01,0.01,31.0,1,-2.0415,Dusuk,1200.0,0.23,0.008,0
Tebuconazole,Meat (from mammals other than marine mammals),0.05,0.01,20.8,0,-1.9728,Orta,1200.0,4.05,0.0316,0
Propamocarb,Mammalian fats (except milk fats),0.03,0.01,22.1,0,-1.9819,Orta,1200.0,1.89,0.0195,0
Carbaryl,"Turnip, Garden",1.0,0.01,21.1,0,-1.9745,Orta,1200.0,52.67,1.1645,1
Quinclorac,Mammalian fats (except milk fats),0.05,0.01,16.6,0,-1.9445,Orta,1200.0,4.62,0.0485,0
Abamectin,"Onion, bulb",0.005,2e-07,21.8,0,-6.6299,Cok Dusuk (Kalici),1160.0,0.02,0.003,0
Pirimicarb,Poultry meat,0.01,0.01,29.9,1,-2.0339,Dusuk,1200.0,0.14,0.005,0
Phosalone,"Spices, fruits and berries",2.0,0.01,15.2,0,-1.9355,Orta,1200.0,371.99,2.9837,1
Methoxyfenozide,"Basil, leaves",80.0,0.01,25.1,1,-2.0015,Dusuk,1200.0,1497.25,106.2582,1
Clothianidin,"Sorgo or sorghum, sweet",0.4,0.01,33.4,1,-2.0577,Dusuk,1200.0,4.47,0.2814,0
Fipronil,Poultry meat,0.01,0.01,22.1,0,-1.9816,Orta,1200.0,0.82,0.0074,0
Methoxyfenozide,Tomato,2.0,0.01,17.5,0,-1.9504,Orta,1200.0,117.79,2.7225,1
Fenhexamid,Dewberries (including boysenberry and loganberry),15.0,0.01,30.2,1,-2.0362,Dusuk,1200.0,100.67,10.0421,0
Spinosad,Maize fodder (dry),5.0,0.01,19.9,0,-1.967,Orta,1200.0,326.94,3.9311,0
Dichlobenil,Cereal grains (group),0.01,0.01,24.9,0,-2.0002,Dusuk,1200.0,0.08,0.0071,0
Fenamiphos,Peanut,0.05,0.01,34.4,1,-2.0642,Dusuk,1200.0,0.79,0.0675,1
Methomyl,Apple,0.3,0.01,19.7,0,-1.9656,Orta,1200.0,37.2,0.4177,1
Sedaxane,Eggs,0.01,0.01,21.8,0,-1.9797,Orta,1200.0,0.34,0.0065,0
Prochloraz,Milks,0.05,0.01,23.6,0,-1.9916,Orta,1200.0,3.97,0.0735,1
Phosmet,Citrus fruits (group),3.0,0.01,16.8,0,-1.9457,Orta,1200.0,130.92,2.5371,0
Pyrasulfotole,"Poultry, edible offal of",0.05,0.01,22.1,0,-1.9814,Orta,1200.0,8.56,0.0807,1
Etofenprox,Peach,0.6,0.01,29.5,1,-2.0312,Dusuk,1200.0,10.6,0.7773,1
Acetochlor,Beans with pods (Phaseolus spp.) (immature pods and succulent seeds),0.02,22.0,34.3,1,1.3851,Yuksek,1120.0,8.66,0.0135,0
Permethrin,Meat (from mammals other than marine mammals),1.0,0.01,24.4,0,-1.9967,Orta,1200.0,47.66,0.9141,0
Spinosad,Cattle milk,1.0,0.01,16.2,0,-1.9417,Orta,1200.0,80.67,0.9382,0
Deltamethrin,Table olives,1.0,2e-06,31.3,1,-5.8222,Cok Dusuk (Kalici),500.0,5.86,0.5487,0
Boscalid,Brassica vegetables (except Brassica leafy vegetables) (group),5.0,0.01,21.5,0,-1.9772,Orta,1200.0,509.81,3.7963,0
Carbaryl,Rice hulls,50.0,0.01,15.7,0,-1.9383,Orta,1200.0,7128.71,60.7731,1
Azoxystrobin,Sugar beet,4.0,0.01,20.2,0,-1.9691,Orta,1200.0,376.39,5.4666,1
Paraquat,Tree nuts (group),0.05,0.01,23.7,0,-1.9923,Orta,1200.0,6.1,0.0742,1
Pyrethrins,Dried fruits,0.2,0.01,24.3,0,-1.9963,Orta,1200.0,8.69,0.1659,0
Benalaxyl,Grapes,0.3,0.01,25.3,1,-2.003,Dusuk,1200.0,7.59,0.3227,1
Imazapic,"Poultry, edible offal of",0.01,0.01,30.3,1,-2.0365,Dusuk,1200.0,0.08,0.0058,0
Dinotefuran,Eggs,0.02,0.01,18.0,0,-1.9543,Orta,1200.0,1.03,0.024,1
Flutriafol,"Barley, hay and/or straw",10.0,0.01,20.3,0,-1.9698,Orta,1200.0,763.51,13.7069,1
Kresoxim-Methyl,"Barley, similar grains, and pseudocereals with husks (subgroup)",0.15,0.01,33.0,1,-2.0549,Dusuk,1200.0,2.22,0.1064,0
Dithiocarbamates,Carrot,1.0,0.01,18.6,0,-1.9579,Orta,1200.0,89.66,0.9869,0
Spirodiclofen,Meat (from mammals other than marine mammals),0.01,0.01,20.7,0,-1.9723,Orta,1200.0,0.32,0.0083,0
Folpet,Tomato,3.0,0.01,32.2,1,-2.0494,Dusuk,1200.0,80.45,4.3631,1
Disulfoton,Maize,0.02,0.01,34.4,1,-2.064,Dusuk,1200.0,0.32,0.0171,0
Cyhalothrin (includes lambda-cyhalothrin),Root and tuber vegetables (group),0.01,0.01,31.5,1,-2.0448,Dusuk,1200.0,0.32,0.0134,1
Triadimefon,Pineapple,5.0,0.01,23.3,0,-1.9898,Orta,1200.0,272.97,6.6927,1
Fluazifop-p-butyl,"Citrus pulp, dried",0.06,0.01,34.5,1,-2.0648,Dusuk,1200.0,0.54,0.0603,1
Flubendiamide,Celery,5.0,0.01,23.0,0,-1.9875,Orta,1200.0,520.6,5.6992,1
Trinexapac-ethyl,Rape seed,1.5,0.01,21.3,0,-1.9759,Orta,1200.0,37.26,0.9639,0
Imidacloprid,Cauliflower,0.5,4e-07,19.1,0,-6.2754,Cok Dusuk (Kalici),1540.0,1.7,0.3058,0
Triflumizole,Meat (from mammals other than marine mammals),0.03,0.01,29.5,1,-2.0309,Dusuk,1200.0,0.64,0.0323,1
Isopyrazam,"Rye straw and fodder, dry",15.0,0.01,34.7,1,-2.0663,Dusuk,1200.0,534.94,12.0632,0
Pyrasulfotole,Rye,0.02,0.01,20.7,0,-1.9721,Orta,1200.0,1.17,0.0124,0
Dithiocarbamates,Mango,2.0,0.01,22.1,0,-1.9817,Orta,1200.0,91.21,1.7146,0
Carbendazim,Pome fruits (group),3.0,0.01,33.2,1,-2.0562,Dusuk,1200.0,47.15,4.28,1
Ametoctradin,Cucumber,0.4,0.01,16.3,0,-1.9426,Orta,1200.0,47.95,0.4402,1
Fenamidone,Peppers chili,4.0,0.01,27.7,1,-2.0189,Dusuk,1200.0,42.81,4.0595,1
Isocycloseram,Edible offal (mammalian),0.3,0.01,22.8,0,-1.9864,Orta,1200.0,8.8,0.1687,0
Valifenalate,"Onion, bulb",0.5,0.01,25.9,1,-2.0073,Dusuk,1200.0,3.26,0.2913,0
Fluazifop-p-butyl,Sugar beet,0.5,0.01,27.0,1,-2.0144,Dusuk,1200.0,5.62,0.6424,1
Quintozene,"Wheat, hay and/or straw",0.03,0.01,20.7,0,-1.972,Orta,1200.0,2.07,0.0375,1
Bifenazate,Tomato,0.5,0.01,30.4,1,-2.0374,Dusuk,1200.0,3.8,0.3054,0
Ametoctradin,Brassica vegetables (except Brassica leafy vegetables) (group),9.0,0.01,19.6,0,-1.9648,Orta,1200.0,741.47,4.6016,0
Flupyradifurone,Beans with pods (Phaseolus spp.) (immature pods and succulent seeds),1.5,0.01,19.7,0,-1.9655,Orta,1200.0,162.87,2.1235,1
Chlordane,Sorghum grain,0.02,0.01,33.5,1,-2.0581,Dusuk,1200.0,0.24,0.0117,0
Metaflumizone,Maize,0.04,0.01,19.9,0,-1.9671,Orta,1200.0,7.69,0.0435,1
Thiamethoxam,Eggs,0.01,0.01,26.5,1,-2.0112,Dusuk,1200.0,0.22,0.0086,0
Dithiocarbamates,Cardamom,0.1,0.01,33.4,1,-2.0575,Dusuk,1200.0,1.59,0.0538,0
Deltamethrin,Grapes,0.2,2e-06,20.9,0,-5.6241,Cok Dusuk (Kalici),500.0,1.41,0.1893,0
Imazethapyr,"Rice, hay and/or straw",0.15,0.01,19.8,0,-1.9659,Orta,1200.0,7.64,0.1561,1
Profenofos,Milks,0.01,0.01,27.3,1,-2.0163,Dusuk,1200.0,0.27,0.0097,0
Fluensulfone,Legume vegetables (group),0.1,0.01,32.5,1,-2.0515,Dusuk,1200.0,1.48,0.0768,0
Fenbuconazole,"Poultry, edible offal of",0.01,0.01,30.2,1,-2.036,Dusuk,1200.0,0.13,0.0087,0
Permethrin,Carrot,0.1,0.01,35.0,1,-2.0681,Dusuk,1200.0,1.75,0.1344,1
Flusilazole,Soya bean hulls,0.05,0.01,33.5,1,-2.0583,Dusuk,1200.0,0.41,0.0387,0
Chlormequat,"Poultry, edible offal of",0.2,0.01,28.3,1,-2.023,Dusuk,1200.0,1.61,0.1635,0
Cyflumetofen,"Grape, dried (= Currants, Raisins and Sultanas)",1.5,0.01,19.9,0,-1.9671,Orta,1200.0,107.48,1.2371,0
Sulfoxaflor,Mandarins (including mandarin-like hybrids) (subgroup),0.8,0.01,26.8,1,-2.0131,Dusuk,1200.0,16.65,0.7028,0
Dicofol,"Spices, seeds",0.05,0.01,23.3,0,-1.9898,Orta,1200.0,3.27,0.0659,1
Flumioxazin,Mammalian fats (except milk fats),0.02,0.01,31.1,1,-2.0419,Dusuk,1200.0,0.25,0.0253,1
Imidacloprid,Radish leaves (including radish tops),5.0,4e-07,16.0,0,-6.2071,Cok Dusuk (Kalici),1540.0,10.86,4.1314,0
Bicyclopyrone,Milks,0.02,0.01,16.7,0,-1.9455,Orta,1200.0,2.87,0.0288,1
Propiconazole,Peanut,0.03,0.01,23.1,0,-1.988,Orta,1200.0,1.98,0.0348,1
Dinocap,"Squash, summer",0.07,0.01,28.2,1,-2.0224,Dusuk,1200.0,1.03,0.0659,0
Fenpropathrin,Eggs,0.01,0.01,20.1,0,-1.9678,Orta,1200.0,0.64,0.0119,1
Aldrin and Dieldrin,Citrus fruits (group),0.05,0.01,20.9,0,-1.9732,Orta,1200.0,4.63,0.0509,1
Quinoxyfen,"Poultry, edible offal of",0.01,0.01,18.2,0,-1.9553,Orta,1200.0,0.62,0.0121,1
Tebuconazole,Peach,2.0,0.01,27.1,1,-2.0152,Dusuk,1200.0,77.6,1.9633,0
Tebuconazole,"Wheat, hay and/or straw",40.0,0.01,29.1,1,-2.0287,Dusuk,1200.0,571.37,25.0855,0
Flupyradifurone,Root and tuber vegetables (group),0.7,0.01,19.8,0,-1.9661,Orta,1200.0,82.72,0.8669,1
Spirotetramat,"Hops, dry",15.0,0.01,25.4,1,-2.0038,Dusuk,1200.0,297.76,11.5819,0
Bixafen,Pulses (group),0.04,0.01,17.5,0,-1.9508,Orta,1200.0,5.8,0.0558,1
Indoxacarb,Peanut fodder,50.0,0.01,18.8,0,-1.9597,Orta,1200.0,8189.88,55.0697,1
Malathion,Strawberry,1.0,0.01,23.0,0,-1.9875,Orta,1200.0,59.95,0.5636,0
Omethoate,Brussels sprouts,0.03,0.01,15.8,0,-1.9395,Orta,1200.0,2.04,0.0485,1
Abamectin,"Lettuce, head",0.15,2e-07,31.8,1,-6.8551,Cok Dusuk (Kalici),1160.0,0.68,0.1446,0
Flupyradifurone,"Bulb vegetables, except fennel, bulb",0.01,0.01,23.3,0,-1.9894,Orta,1200.0,0.26,0.0057,0
Paraquat,Pulses (group),0.5,0.01,23.5,0,-1.9907,Orta,1200.0,34.37,0.5197,1
Penthiopyrad,"Barley, hay and/or straw",80.0,0.01,27.2,1,-2.0158,Dusuk,1200.0,1831.49,73.3128,0
Aldicarb,Meat (from mammals other than marine mammals),0.01,4.0,23.0,0,0.5983,Yuksek,1190.0,1.82,0.0078,0
Azoxystrobin,Straw and hay of cereal grains (excluding pseudocereals) (subgroup),15.0,0.01,20.1,0,-1.9682,Orta,1200.0,783.02,16.502,1
Pirimicarb,Melons (except watermelon),0.2,0.01,19.7,0,-1.9655,Orta,1200.0,10.05,0.1747,0
Flutriafol,Milks,0.01,0.01,33.4,1,-2.0572,Dusuk,1200.0,0.09,0.0077,0
Oxydemeton-Methyl,Poultry meat,0.05,0.01,19.3,0,-1.9626,Orta,1200.0,5.31,0.0406,0
Endosulfan,"Persimmon, American",2.0,0.01,23.7,0,-1.9922,Orta,1200.0,120.13,1.7349,0
Methoxyfenozide,Sweet potato,0.02,0.01,23.7,0,-1.9921,Orta,1200.0,1.28,0.0181,0
Pyrimethanil,"Pea, hay and/or straw",3.0,0.01,17.7,0,-1.9522,Orta,1200.0,109.46,1.4826,0
Bifenthrin,Pomegranate,0.5,0.01,31.0,1,-2.0411,Dusuk,1200.0,2.89,0.2327,0
Fluopicolide,Leafy vegetables (group),30.0,0.01,31.1,1,-2.0416,Dusuk,1200.0,636.31,18.7177,0
Fenvalerate,Mango,1.5,0.01,17.7,0,-1.9522,Orta,1200.0,58.41,1.3063,0
Myclobutanil,Tomato,0.3,0.01,34.9,1,-2.0672,Dusuk,1200.0,4.1,0.2976,0
Isopyrazam,Triticale,0.03,0.01,21.5,0,-1.9774,Orta,1200.0,1.26,0.0259,0
Spinosad,Edible offal (mammalian),0.5,0.01,27.0,1,-2.0146,Dusuk,1200.0,7.13,0.2416,0
Abamectin,Cotton seed,0.01,2e-07,31.1,1,-6.84,Cok Dusuk (Kalici),1160.0,0.04,0.0118,1
Pyrimethanil,Blueberries,8.0,0.01,33.7,1,-2.0594,Dusuk,1200.0,237.54,7.9479,0
Flumioxazin,Poultry meat,0.02,0.01,32.2,1,-2.0495,Dusuk,1200.0,0.46,0.029,1
Prothioconazole,Fodder (dry) of cereal grains,5.0,0.01,22.7,0,-1.9853,Orta,1200.0,279.51,4.7485,0
Permethrin,Cauliflower,0.5,0.01,20.1,0,-1.9679,Orta,1200.0,40.07,0.7088,1
Flubendiamide,Meat (from mammals other than marine mammals),2.0,0.01,26.8,1,-2.0132,Dusuk,1200.0,18.67,2.0332,1
Iprodione,"Onion, bulb",0.15,0.01,33.3,1,-2.0564,Dusuk,1200.0,5.07,0.1661,1
Lindane,Sweet corn (kernels),0.01,0.01,16.3,0,-1.9426,Orta,1200.0,1.93,0.0123,1
Etofenprox,"Grape, dried (= Currants, Raisins and Sultanas)",8.0,0.01,16.2,0,-1.942,Orta,1200.0,880.74,11.7937,1
Methomyl,Asparagus,2.0,0.01,29.4,1,-2.0307,Dusuk,1200.0,31.61,1.2914,0
Cypermethrins (including alpha- and zeta- cypermethrin),"Poultry, edible offal of",0.05,0.01,28.4,1,-2.0236,Dusuk,1200.0,0.65,0.0282,0
Ethephon,Table olives,7.0,0.01,34.2,1,-2.0626,Dusuk,1200.0,150.24,9.1204,1
Omethoate,Rape seed,0.03,0.01,34.8,1,-2.0671,Dusuk,1200.0,0.31,0.036,1
Fenhexamid,Cucumber,1.0,0.01,16.6,0,-1.9449,Orta,1200.0,67.89,1.3431,1
Fenpropathrin,Peppers (subgroup),1.0,0.01,32.4,1,-2.0503,Dusuk,1200.0,6.85,0.5059,0
Acetochlor,Pigeon pea (dry),0.15,22.0,21.0,0,1.3249,Yuksek,1120.0,124.75,0.225,1
Acetochlor,Teosinte fodder,0.3,22.0,21.9,0,1.3294,Yuksek,1120.0,79.96,0.3049,1
Thiamethoxam,Sorghum grain,0.6,0.01,19.8,0,-1.9663,Orta,1200.0,50.77,0.5446,0
Dicamba,Poultry meat,0.02,0.01,19.2,0,-1.9623,Orta,1200.0,1.73,0.0286,1
Metrafenone,"Wheat bran, processed",0.25,0.01,21.4,0,-1.9765,Orta,1200.0,12.31,0.1797,0
Methomyl,"Onion, bulb",0.2,0.01,22.6,0,-1.9852,Orta,1200.0,14.38,0.3018,1
Fluensulfone,Tomato paste,1.5,0.01,26.0,1,-2.0075,Dusuk,1200.0,13.84,1.4413,0
Acetochlor,Lupin (dry),0.15,22.0,34.7,1,1.3868,Yuksek,1120.0,52.02,0.1373,0
Imazapic,Edible offal (mammalian),1.0,0.01,33.1,1,-2.0553,Dusuk,1200.0,12.14,0.7179,0
Bixafen,Maize,0.01,0.01,33.8,1,-2.06,Dusuk,1200.0,0.19,0.0125,1
Bixafen,"Peanut oil, edible",0.03,0.01,34.7,1,-2.066,Dusuk,1200.0,0.14,0.0158,0
Haloxyfop,Peas (dry),0.2,0.01,34.1,1,-2.0621,Dusuk,1200.0,3.35,0.2375,1
Fenazaquin,Mammalian fats (except milk fats),0.02,0.01,17.8,0,-1.9525,Orta,1200.0,1.4,0.0239,1
Glufosinate-Ammonium,Eggs,0.05,0.01,18.2,0,-1.9552,Orta,1200.0,4.63,0.0492,0
Flutianil,Cherries (subgroup),0.4,0.01,32.6,1,-2.0517,Dusuk,1200.0,4.47,0.354,0
Sulfoxaflor,Pome fruits (group),0.3,0.01,34.3,1,-2.0633,Dusuk,1200.0,3.08,0.3145,1
Carbendazim,Cattle meat,0.05,0.01,27.6,1,-2.0188,Dusuk,1200.0,0.64,0.0662,1
Mesotrione,Meat (from mammals other than marine mammals),0.01,0.01,34.8,1,-2.0666,Dusuk,1200.0,0.1,0.0071,0
Cyfluthrin/beta-cyfluthrin,Cauliflower,2.0,0.01,18.9,0,-1.9598,Orta,1200.0,242.47,2.319,1
Dimethenamid-P,Sweet potato,0.01,0.01,15.7,0,-1.9389,Orta,1200.0,0.53,0.0088,0
Dichlobenil,Grapes,0.05,0.01,23.3,0,-1.9898,Orta,1200.0,1.26,0.0293,0
Abamectin,Grapes,0.03,2e-07,23.5,0,-6.6682,Cok Dusuk (Kalici),1160.0,0.31,0.0381,1
Ametoctradin,Leafy vegetables (group),50.0,0.01,15.3,0,-1.9359,Orta,1200.0,3198.21,80.6434,1
Cypermethrins (including alpha- and zeta- cypermethrin),Rye,2.0,0.01,17.0,0,-1.9476,Orta,1200.0,56.34,1.1538,0
Etofenprox,Rape seed,0.01,0.01,29.7,1,-2.0323,Dusuk,1200.0,0.26,0.0138,1
Dinotefuran,"Peppers chili, dried",5.0,0.01,32.3,1,-2.0502,Dusuk,1200.0,73.59,6.5661,1
Chlorfenapyr,"Soya bean, hay and/or straw",7.0,0.01,17.5,0,-1.9504,Orta,1200.0,343.95,4.2125,0
Flupyradifurone,"Hops, dry",10.0,0.01,16.1,0,-1.9412,Orta,1200.0,373.21,6.5864,0
